"","State_UTs_Code","District_Code","CD_Block_Code","Town_Village_Code","Ward_Code","EB_Code","State_UTs_Name","District_Name","Level","Name","Total_Rural_Urban","No_of_Households","Total_Population_Person","Total_Population_Male","Total_Population_Female","Population_in_the_age_group_0_6_Person","Population_in_the_age_group_0_6_Male","Population_in_the_age_group_0_6_Female","Scheduled_Castes_population_Person","Scheduled_Castes_population_Male","Scheduled_Castes_population_Female","Scheduled_Tribes_population_Person","Scheduled_Tribes_population_Male","Scheduled_Tribes_population_Female","Literates_Population_Person","Literates_Population_Male","Literates_Population_Female","Illiterate_Persons","Illiterate_Male","Illiterate_Female","Total_Worker_Population_Person","Total_Worker_Population_Male","Total_Worker_Population_Female","Main_Working_Population_Person","Main_Working_Population_Male","Main_Working_Population_Female","Main_Cultivator_Population_Person","Main_Cultivator_Population_Male","Main_Cultivator_Population_Female","Main_Agricultural_Labourers_Population_Person","Main_Agricultural_Labourers_Population_Male","Main_Agricultural_Labourers_Population_Female","Main_Household_Industries_Population_Person","Main_Household_Industries_Population_Male","Main_Household_Industries_Population_Female","Main_Other_Workers_Population_Person","Main_Other_Workers_Population_Male","Main_Other_Workers_Population_Female","Marginal_Worker_Population_Person","Marginal_Worker_Population_Male","Marginal_Worker_Population_Female","Marginal_Cultivator_Population_Person","Marginal_Cultivator_Population_Male","Marginal_Cultivator_Population_Female","Marginal_Agriculture_Labourers_Population_Person","Marginal_Agriculture_Labourers_Population_Male","Marginal_Agriculture_Labourers_Population_Female","Marginal_Household_Industries_Population_Person","Marginal_Household_Industries_Population_Male","Marginal_Household_Industries_Population_Female","Marginal_Other_Workers_Population_Person","Marginal_Other_Workers_Population_Male","Marginal_Other_Workers_Population_Female","Marginal_Worker_Population_3_6_Person","Marginal_Worker_Population_3_6_Male","Marginal_Worker_Population_3_6_Female","Marginal_Cultivator_Population_3_6_Person","Marginal_Cultivator_Population_3_6_Male","Marginal_Cultivator_Population_3_6_Female","Marginal_Agriculture_Labourers_Population_3_6_Person","Marginal_Agriculture_Labourers_Population_3_6_Male","Marginal_Agriculture_Labourers_Population_3_6_Female","Marginal_Household_Industries_Population_3_6_Person","Marginal_Household_Industries_Population_3_6_Male","Marginal_Household_Industries_Population_3_6_Female","Marginal_Other_Workers_Population_Person_3_6_Person","Marginal_Other_Workers_Population_Person_3_6_Male","Marginal_Other_Workers_Population_Person_3_6_Female","Marginal_Worker_Population_0_3_Person","Marginal_Worker_Population_0_3_Male","Marginal_Worker_Population_0_3_Female","Marginal_Cultivator_Population_0_3_Person","Marginal_Cultivator_Population_0_3_Male","Marginal_Cultivator_Population_0_3_Female","Marginal_Agriculture_Labourers_Population_0_3_Person","Marginal_Agriculture_Labourers_Population_0_3_Male","Marginal_Agriculture_Labourers_Population_0_3_Female","Marginal_Household_Industries_Population_0_3_Person","Marginal_Household_Industries_Population_0_3_Male","Marginal_Household_Industries_Population_0_3_Female","Marginal_Other_Workers_Population_0_3_Person","Marginal_Other_Workers_Population_0_3_Male","Marginal_Other_Workers_Population_0_3_Female","Non_Working_Population_Person","Non_Working_Population_Male","Non_Working_Population_Female"
"11",32,598,104,628248,0,0,"KERALA","Alappuzha","VILLAGE","Muttar","Rural",2264,9200,4437,4763,924,502,422,924,456,468,2,1,1,8006,3830,4176,1194,607,587,3300,2260,1040,2480,1899,581,224,214,10,886,646,240,67,56,11,1303,983,320,820,361,459,34,30,4,575,229,346,13,6,7,198,96,102,700,295,405,31,28,3,476,172,304,10,5,5,183,90,93,120,66,54,3,2,1,99,57,42,3,1,2,15,6,9,5900,2177,3723
"12",32,598,108,0,0,0,"KERALA","Alappuzha","CD BLOCK","Thaikattussery","Total",26369,109864,54161,55703,10518,5341,5177,11656,5694,5962,468,232,236,93689,47560,46129,16175,6601,9574,49474,31848,17626,40063,27615,12448,513,417,96,1175,874,301,1839,668,1171,36536,25656,10880,9411,4233,5178,239,115,124,658,378,280,791,125,666,7723,3615,4108,7233,3312,3921,190,92,98,524,313,211,581,100,481,5938,2807,3131,2178,921,1257,49,23,26,134,65,69,210,25,185,1785,808,977,60390,22313,38077
"13",32,598,108,0,0,0,"KERALA","Alappuzha","CD BLOCK","Thaikattussery","Rural",9893,41303,20376,20927,3945,2034,1911,4396,2136,2260,214,106,108,35105,17893,17212,6198,2483,3715,18987,12252,6735,15047,10565,4482,287,232,55,353,234,119,386,187,199,14021,9912,4109,3940,1687,2253,142,69,73,230,85,145,135,26,109,3433,1507,1926,3035,1350,1685,98,51,47,170,65,105,108,23,85,2659,1211,1448,905,337,568,44,18,26,60,20,40,27,3,24,774,296,478,22316,8124,14192
"14",32,598,108,0,0,0,"KERALA","Alappuzha","CD BLOCK","Thaikattussery","Urban",16476,68561,33785,34776,6573,3307,3266,7260,3558,3702,254,126,128,58584,29667,28917,9977,4118,5859,30487,19596,10891,25016,17050,7966,226,185,41,822,640,182,1453,481,972,22515,15744,6771,5471,2546,2925,97,46,51,428,293,135,656,99,557,4290,2108,2182,4198,1962,2236,92,41,51,354,248,106,473,77,396,3279,1596,1683,1273,584,689,5,5,0,74,45,29,183,22,161,1011,512,499,38074,14189,23885
"15",32,598,108,628206,0,0,"KERALA","Alappuzha","VILLAGE","Perumbalam","Rural",2365,9733,4880,4853,823,456,367,657,339,318,35,19,16,8422,4328,4094,1311,552,759,4479,2979,1500,3456,2665,791,82,73,9,87,60,27,72,38,34,3215,2494,721,1023,314,709,44,25,19,63,13,50,55,2,53,861,274,587,825,285,540,33,22,11,40,10,30,50,2,48,702,251,451,198,29,169,11,3,8,23,3,20,5,0,5,159,23,136,5254,1901,3353
"16",32,598,108,628207,0,0,"KERALA","Alappuzha","VILLAGE","Panavally","Rural",7528,31570,15496,16074,3122,1578,1544,3739,1797,1942,179,87,92,26683,13565,13118,4887,1931,2956,14508,9273,5235,11591,7900,3691,205,159,46,266,174,92,314,149,165,10806,7418,3388,2917,1373,1544,98,44,54,167,72,95,80,24,56,2572,1233,1339,2210,1065,1145,65,29,36,130,55,75,58,21,37,1957,960,997,707,308,399,33,15,18,37,17,20,22,3,19,615,273,342,17062,6223,10839
"17",32,598,108,628214,0,0,"KERALA","Alappuzha","TOWN","Arookutty (CT)","Urban",4414,19411,9650,9761,2119,1089,1030,1665,823,842,48,29,19,16132,8295,7837,3279,1355,1924,7589,5513,2076,6115,4819,1296,21,20,1,86,71,15,168,131,37,5840,4597,1243,1474,694,780,38,7,31,81,75,6,47,18,29,1308,594,714,1031,554,477,37,6,31,76,70,6,34,15,19,884,463,421,443,140,303,1,1,0,5,5,0,13,3,10,424,131,293,11822,4137,7685
"18",32,598,108,628218,0,0,"KERALA","Alappuzha","TOWN","Thaikattussery (CT)","Urban",5152,20874,10242,10632,1907,931,976,2399,1177,1222,86,38,48,17985,9076,8909,2889,1166,1723,9493,6041,3452,7898,5349,2549,94,72,22,304,208,96,423,128,295,7077,4941,2136,1595,692,903,33,20,13,139,74,65,166,24,142,1257,574,683,1306,545,761,31,18,13,101,50,51,129,20,109,1045,457,588,289,147,142,2,2,0,38,24,14,37,4,33,212,117,95,11381,4201,7180
"19",32,598,108,628221,0,0,"KERALA","Alappuzha","TOWN","Pallippuram (CT)","Urban",6910,28276,13893,14383,2547,1287,1260,3196,1558,1638,120,59,61,24467,12296,12171,3809,1597,2212,13405,8042,5363,11003,6882,4121,111,93,18,432,361,71,862,222,640,9598,6206,3392,2402,1160,1242,26,19,7,208,144,64,443,57,386,1725,940,785,1861,863,998,24,17,7,177,128,49,310,42,268,1350,676,674,541,297,244,2,2,0,31,16,15,133,15,118,375,264,111,14871,5851,9020
"20",32,598,109,0,0,0,"KERALA","Alappuzha","CD BLOCK","Pattanakkad","Total",52914,217428,106378,111050,19050,9818,9232,24113,11722,12391,813,383,430,188623,93877,94746,28805,12501,16304,98026,62206,35820,75775,52673,23102,754,600,154,1286,884,402,3767,1727,2040,69968,49462,20506,22251,9533,12718,332,210,122,913,399,514,1380,346,1034,19626,8578,11048,17627,8147,9480,276,174,102,586,274,312,1055,285,770,15710,7414,8296,4624,1386,3238,56,36,20,327,125,202,325,61,264,3916,1164,2752,119402,44172,75230
